label,level,T,RGB,t_ratio,dominant
day,0,0.564192533493042,0.3896646201610565,0.5914853511672107,THERMAL
day,1,0.3738306164741516,0.26148703694343567,0.5884152824380098,THERMAL
day,2,0.2782967984676361,0.19398295879364014,0.5892626016428787,THERMAL
day,3,0.17462968826293945,0.12699547410011292,0.5789626001167859,THERMAL
day,4,0.09879381954669952,0.1072717159986496,0.4794291257136417,RGB
night,0,0.6286315321922302,0.38633328676223755,0.6193628788426131,THERMAL
night,1,0.4307864010334015,0.2512136697769165,0.6316515488347841,THERMAL
night,2,0.28867363929748535,0.14102302491664886,0.6718079597493838,THERMAL
night,3,0.18177363276481628,0.08988111466169357,0.6691347546330733,THERMAL
night,4,0.05768536776304245,0.05615968257188797,0.5067007093661627,THERMAL
full,0,0.5422941446304321,0.3357313275337219,0.6176291711596588,THERMAL
full,1,0.400421679019928,0.2603687345981598,0.605973801627744,THERMAL
full,2,0.2754451036453247,0.16030052304267883,0.6321236216144813,THERMAL
full,3,0.1826660931110382,0.11012119054794312,0.6238867030959286,THERMAL
full,4,0.08322171866893768,0.10787292569875717,0.43550000547566925,RGB
