label,level,T,RGB,t_ratio,dominant
clear_day,0,0.20405691862106323,0.38251063227653503,0.34788306702008337,RGB
clear_day,1,0.18412068486213684,0.38099879026412964,0.3258084227599347,RGB
clear_day,2,0.16611303389072418,0.3258097171783447,0.3376811369862079,RGB
clear_day,3,0.14144966006278992,0.26533398032188416,0.3477270126416112,RGB
clear_day,4,0.13764216005802155,0.2013806700706482,0.405996728908717,RGB
fog_night,0,0.26754316687583923,0.4174174666404724,0.39059641355152036,RGB
fog_night,1,0.2685737907886505,0.4102308452129364,0.39565697778709186,RGB
fog_night,2,0.25003600120544434,0.3693431615829468,0.403688106134214,RGB
fog_night,3,0.1812206208705902,0.29939907789230347,0.3770561658972192,RGB
fog_night,4,0.14642196893692017,0.20064473152160645,0.4218842336157665,RGB
snow_night,0,0.24276994168758392,0.39791733026504517,0.3789211247280012,RGB
snow_night,1,0.2434135526418686,0.39260807633399963,0.38271269647454303,RGB
snow_night,2,0.21546882390975952,0.33821186423301697,0.389157195697257,RGB
snow_night,3,0.16309933364391327,0.27337178587913513,0.37367726373686666,RGB
snow_night,4,0.15554191172122955,0.22283878922462463,0.41107252915384906,RGB
full,0,0.16720716655254364,0.3688894808292389,0.3118974300041738,RGB
full,1,0.1672019213438034,0.37674036622047424,0.3073890836695387,RGB
full,2,0.1529475599527359,0.3276316225528717,0.31825673171066454,RGB
full,3,0.11687561869621277,0.2675033509731293,0.304063510020982,RGB
full,4,0.13019730150699615,0.19965654611587524,0.3947120897478773,RGB
