label,level,T,RGB,t_ratio,dominant
clear_day,0,0.20405691862106323,0.38251063227653503,0.34788306702008337,RGB
clear_day,1,0.18412068486213684,0.38099879026412964,0.3258084227599347,RGB
clear_day,2,0.16611303389072418,0.3258097171783447,0.3376811369862079,RGB
clear_day,3,0.14144966006278992,0.26533398032188416,0.3477270126416112,RGB
clear_day,4,0.13764216005802155,0.2013806700706482,0.405996728908717,RGB
clear_night,0,0.2248191237449646,0.3707318902015686,0.37749767606771417,RGB
clear_night,1,0.21000784635543823,0.36091291904449463,0.36784061656604633,RGB
clear_night,2,0.18143217265605927,0.3439182937145233,0.34535454762065737,RGB
clear_night,3,0.1415335088968277,0.2784843444824219,0.33697022104604424,RGB
clear_night,4,0.1314431130886078,0.21177014708518982,0.38297795668402834,RGB
fog_day,0,0.3483354449272156,0.43281078338623047,0.44592860120294286,RGB
fog_day,1,0.3532850742340088,0.436815470457077,0.4471393882808793,RGB
fog_day,2,0.3274993896484375,0.4127899408340454,0.4423937724923682,RGB
fog_day,3,0.28859585523605347,0.34175053238868713,0.4578369304583106,RGB
fog_day,4,0.22552505135536194,0.2564753592014313,0.4678938988752601,RGB
fog_night,0,0.26754316687583923,0.4174174666404724,0.39059641355152036,RGB
fog_night,1,0.2685737907886505,0.4102308452129364,0.39565697778709186,RGB
fog_night,2,0.25003600120544434,0.3693431615829468,0.403688106134214,RGB
fog_night,3,0.1812206208705902,0.29939907789230347,0.3770561658972192,RGB
fog_night,4,0.14642196893692017,0.20064473152160645,0.4218842336157665,RGB
snow_day,0,0.22001606225967407,0.3987486958503723,0.35557303381552474,RGB
snow_day,1,0.21600967645645142,0.37146615982055664,0.3676911680742394,RGB
snow_day,2,0.19555890560150146,0.35492122173309326,0.3552515266046669,RGB
snow_day,3,0.17637285590171814,0.27715766429901123,0.3888886150887219,RGB
snow_day,4,0.14633165299892426,0.20157679915428162,0.4206039033914148,RGB
snow_night,0,0.24276994168758392,0.39791733026504517,0.3789211247280012,RGB
snow_night,1,0.2434135526418686,0.39260807633399963,0.38271269647454303,RGB
snow_night,2,0.21546882390975952,0.33821186423301697,0.389157195697257,RGB
snow_night,3,0.16309933364391327,0.27337178587913513,0.37367726373686666,RGB
snow_night,4,0.15554191172122955,0.22283878922462463,0.41107252915384906,RGB
full,0,0.16720716655254364,0.3688894808292389,0.3118974300041738,RGB
full,1,0.1672019213438034,0.37674036622047424,0.3073890836695387,RGB
full,2,0.1529475599527359,0.3276316225528717,0.31825673171066454,RGB
full,3,0.11687561869621277,0.2675033509731293,0.304063510020982,RGB
full,4,0.13019730150699615,0.19965654611587524,0.3947120897478773,RGB
