fusion_type,dataset,model,parameters,Pascal mAP@0.5IOU,Pascal AP@0.5IOU/people,Pascal AP@0.5IOU/car,Pascal AP@0.5IOU/motorcycle,Pascal AP@0.5IOU/bus,Pascal AP@0.5IOU/truck,Pascal AP@0.5IOU/lamp,COCO AP@[0.50:0.95],COCO AP@0.50,COCO AP@0.75,COCO AP_small,COCO AP_medium,COCO AP_large,COCO AR@1,COCO AR@10,COCO AR@100,COCO AR_small,COCO AR_medium,COCO AR_large,COCO mAP
adaptive,m3fd_overcast,FastKAN_32_3,17182,0.8443954824096682,0.8756282351667679,0.9180334046051049,0.6053551781173264,0.939484126984127,0.9025875190258752,0.8252844305588083,0.558,0.842,0.579,0.211,0.685,0.885,0.396,0.610,0.621,0.324,0.746,0.899,0.5576031788442547
adaptive,m3fd_overcast,FastKAN_32_2,13084,0.8409659645273712,0.8715438399385053,0.9229933422549566,0.5645502645502645,0.9487179487179488,0.9081196581196581,0.8298707335828934,0.560,0.838,0.597,0.214,0.687,0.858,0.404,0.606,0.616,0.322,0.740,0.872,0.5604940471648392
adaptive,m3fd_overcast,FastKAN_64_3,8978,0.8415517298192904,0.8745018422915096,0.923371663497039,0.6021555415292019,0.9533730158730158,0.8888888888888888,0.8070194268360876,0.557,0.839,0.583,0.212,0.682,0.859,0.399,0.598,0.609,0.299,0.734,0.875,0.5566336788103815
adaptive,m3fd_overcast,FastKAN_64_2,6928,0.8349303097385632,0.8752965085877702,0.9201505379280046,0.5638017341214325,0.939484126984127,0.9033816425120772,0.8074673082979674,0.552,0.832,0.583,0.207,0.675,0.861,0.395,0.600,0.612,0.319,0.733,0.878,0.5515227966219822
adaptive,m3fd_overcast,EfficientKAN_32_3,32768,0.8456654476780496,0.8723513694413959,0.9193696339481064,0.6107548666495156,0.9487179487179488,0.9081196581196581,0.8146792091916729,0.558,0.843,0.579,0.212,0.683,0.865,0.399,0.613,0.624,0.346,0.747,0.891,0.5581121438542799
adaptive,m3fd_overcast,EfficientKAN_32_2,28672,0.8426590828509921,0.8698355580585573,0.9290882175107191,0.6013983407791029,0.939484126984127,0.8888888888888888,0.8272593648845582,0.555,0.839,0.573,0.209,0.688,0.865,0.395,0.599,0.609,0.301,0.742,0.877,0.5552335328266599
adaptive,m3fd_overcast,EfficientKAN_64_3,16384,0.8377879961371537,0.8660170889949377,0.9208070419870512,0.5870683496070493,0.9464285714285714,0.8991981672394043,0.8072087575659076,0.541,0.835,0.558,0.204,0.682,0.783,0.387,0.592,0.604,0.325,0.731,0.798,0.5411236363453976
adaptive,m3fd_overcast,EfficientKAN_64_2,14336,0.8426822345505025,0.8726253874546976,0.9177686842011075,0.6133089133089134,0.939484126984127,0.8951388888888888,0.8177674064652805,0.551,0.840,0.590,0.208,0.683,0.868,0.394,0.603,0.614,0.378,0.734,0.885,0.5509359463703108
adaptive,m3fd_overcast,EfficientKAN_dual_32_3,16384,0.8335204525177827,0.8671027425471249,0.9255818371367799,0.5499644252295366,0.939484126984127,0.9007936507936507,0.8181959324154771,0.550,0.831,0.579,0.204,0.682,0.881,0.396,0.605,0.618,0.340,0.742,0.896,0.5501783276787571
adaptive,m3fd_overcast,EfficientKAN_dual_32_2,14336,0.8360044616176728,0.8575223520216431,0.9234266728878218,0.584241239529701,0.9416666666666667,0.907070707070707,0.8020991315294974,0.555,0.834,0.571,0.204,0.683,0.878,0.400,0.604,0.616,0.369,0.732,0.891,0.5545095070575811
adaptive,m3fd_overcast,EfficientKAN_dual_64_3,8192,0.840307493438536,0.8663656206237718,0.9191881555664472,0.589370601267035,0.9464285714285714,0.8888888888888888,0.8316031228565023,0.558,0.837,0.580,0.211,0.699,0.851,0.397,0.599,0.610,0.302,0.751,0.863,0.5575289423593977
adaptive,m3fd_overcast,EfficientKAN_dual_64_2,7168,0.8355627252769265,0.8642156901025431,0.9245712997902877,0.5813930486387062,0.9487179487179488,0.8888888888888888,0.805589475523185,0.549,0.833,0.578,0.205,0.673,0.858,0.390,0.593,0.611,0.302,0.734,0.874,0.5486857285167626
adaptive,m3fd_overcast,WavKAN_32,16912,0.8387620134599948,0.8711936678706098,0.9141081311280064,0.5863170411121368,0.939484126984127,0.8888888888888888,0.8325802247761998,0.552,0.836,0.558,0.206,0.690,0.873,0.388,0.596,0.610,0.300,0.743,0.891,0.5523503491006448
adaptive,m3fd_overcast,WavKAN_64,8712,0.8372627516242965,0.8646695729607113,0.920335422081172,0.5842054636125689,0.9464285714285714,0.8914014517029591,0.8165360279597963,0.555,0.834,0.584,0.203,0.682,0.884,0.397,0.603,0.627,0.420,0.743,0.897,0.555167125062562
