fusion_type,dataset,model,parameters,Pascal mAP@0.5IOU,Pascal AP@0.5IOU/people,Pascal AP@0.5IOU/car,Pascal AP@0.5IOU/motorcycle,Pascal AP@0.5IOU/bus,Pascal AP@0.5IOU/truck,Pascal AP@0.5IOU/lamp,COCO AP@[0.50:0.95],COCO AP@0.50,COCO AP@0.75,COCO AP_small,COCO AP_medium,COCO AP_large,COCO AR@1,COCO AR@10,COCO AR@100,COCO AR_small,COCO AR_medium,COCO AR_large,COCO mAP
adaptive,m3fd_night,FastKAN_32_2,13084,0.9182065497672957,0.8778454013807724,0.9712669265530951,0.9583333333333334,1.0,1.0,0.7017936373365731,0.679,0.916,0.767,0.252,0.719,0.861,0.500,0.710,0.724,0.415,0.753,0.881,0.6788201881492342
adaptive,m3fd_night,FastKAN_64_3,8978,0.922225973113091,0.883987046900143,0.9747600225681198,1.0,1.0,1.0,0.6746087692102827,0.675,0.921,0.750,0.249,0.700,0.862,0.494,0.705,0.724,0.426,0.733,0.881,0.674817817652491
adaptive,m3fd_night,FastKAN_64_2,6928,0.9249027587120829,0.8833490445039619,0.9724884224489025,1.0,1.0,1.0,0.6935790853196325,0.682,0.923,0.775,0.260,0.707,0.837,0.503,0.714,0.729,0.417,0.744,0.856,0.6815274219039287
adaptive,m3fd_night,EfficientKAN_32_3,32768,0.9096987948989567,0.875260510780999,0.9711761675003352,1.0,1.0,1.0,0.611756091112406,0.670,0.908,0.745,0.233,0.720,0.838,0.492,0.703,0.718,0.410,0.754,0.856,0.6696485692260601
adaptive,m3fd_night,EfficientKAN_32_2,28672,0.9299929185321688,0.880542859163031,0.9715422478420345,1.0,1.0,1.0,0.7278724041879477,0.675,0.928,0.772,0.249,0.703,0.838,0.495,0.702,0.721,0.422,0.735,0.857,0.6754869251941379
adaptive,m3fd_night,EfficientKAN_64_3,16384,0.9209859045211576,0.8807451851655735,0.9724817926988525,1.0,1.0,1.0,0.6726884492625198,0.678,0.919,0.776,0.251,0.708,0.836,0.496,0.706,0.722,0.411,0.739,0.855,0.6781806295386856
adaptive,m3fd_night,EfficientKAN_64_2,14336,0.9141501229008907,0.8795676239256836,0.9755265619230029,0.9761904761904762,1.0,1.0,0.6536160753661814,0.674,0.913,0.772,0.239,0.705,0.836,0.497,0.707,0.723,0.417,0.739,0.855,0.6742574153134363
adaptive,m3fd_night,EfficientKAN_dual_32_3,16384,0.9245510354045644,0.8859677822823894,0.9732473048215733,1.0,1.0,1.0,0.6880911253234244,0.678,0.923,0.774,0.247,0.725,0.833,0.494,0.705,0.720,0.411,0.752,0.852,0.6777040711972288
adaptive,m3fd_night,EfficientKAN_dual_32_2,14336,0.9171088558219399,0.8762223958845656,0.9728913766128126,1.0,1.0,1.0,0.6535393624342617,0.669,0.914,0.769,0.231,0.701,0.839,0.488,0.697,0.712,0.397,0.731,0.859,0.6694207820932161
adaptive,m3fd_night,EfficientKAN_dual_64_3,8192,0.9263904872258454,0.8784248497284476,0.9711506330960185,0.9761904761904762,1.0,1.0,0.7325769643401296,0.680,0.925,0.769,0.252,0.723,0.835,0.500,0.710,0.727,0.422,0.756,0.855,0.6796715720205377
adaptive,m3fd_night,EfficientKAN_dual_64_2,7168,0.9168805545083042,0.8773822900062436,0.9711253586797508,1.0,1.0,1.0,0.6527756783638312,0.675,0.915,0.768,0.242,0.719,0.838,0.496,0.707,0.721,0.411,0.750,0.857,0.6747450043093015
adaptive,m3fd_night,WavKAN_32,16912,0.9225135874761401,0.8729585708338654,0.9750264793535618,1.0,1.0,1.0,0.6870964746694134,0.681,0.920,0.784,0.266,0.700,0.866,0.498,0.709,0.725,0.429,0.730,0.885,0.6809132015431907
adaptive,m3fd_night,WavKAN_64,8712,0.9249689574117103,0.8833919652012612,0.9728926267277183,0.9761904761904762,1.0,1.0,0.7173386763508067,0.679,0.923,0.776,0.250,0.705,0.837,0.502,0.710,0.726,0.421,0.741,0.858,0.6791178421321972
agnostic,m3fd_challenge,mlp,8464,0.8260343475374966,0.7464568176888866,0.8969210416426008,0.9353174603174603,0.8728333854505621,0.8793812642750242,0.6252961158504456,0.515,0.823,0.526,0.219,0.642,0.842,0.275,0.542,0.592,0.360,0.692,0.863,0.5150894711929973
agnostic,m3fd_challenge,FastKAN_32_3,17182,0.809496456009868,0.7188477472739621,0.8771715569920693,0.9408058188950639,0.8777053677202106,0.8636889699018117,0.578759275276091,0.506,0.809,0.531,0.227,0.631,0.830,0.271,0.538,0.590,0.398,0.678,0.854,0.5058684134818787
agnostic,m3fd_challenge,FastKAN_32_2,13084,0.8207898499962819,0.7256887575390047,0.8972123108658852,0.9440403180493299,0.9008997569714735,0.8438609887078098,0.6130369678441892,0.508,0.818,0.532,0.239,0.636,0.828,0.273,0.544,0.595,0.392,0.685,0.857,0.5082202429845674
agnostic,m3fd_challenge,FastKAN_64_3,8978,0.8130919385262608,0.724568849604003,0.8887371235511639,0.9180907215389973,0.8694237093655698,0.8599277184584532,0.6178035086393782,0.509,0.811,0.518,0.211,0.643,0.835,0.272,0.537,0.589,0.349,0.691,0.860,0.5085742825365471
agnostic,m3fd_challenge,FastKAN_64_2,6928,0.8030638752069809,0.7179233404074011,0.897565856645685,0.9277152988855117,0.8724281490639025,0.843558536447806,0.5591920697915785,0.507,0.801,0.531,0.230,0.638,0.844,0.276,0.540,0.593,0.378,0.691,0.871,0.506994666351722
agnostic,m3fd_challenge,EfficientKAN_32_3,32768,0.8184058684596592,0.7439160655907131,0.8928754047598955,0.9382224760485631,0.8757040732256249,0.8528126137029893,0.6069045774301695,0.511,0.817,0.533,0.235,0.652,0.844,0.274,0.542,0.597,0.385,0.707,0.868,0.511280522680716
agnostic,m3fd_challenge,EfficientKAN_32_2,28672,0.8069095068610919,0.7122391591136072,0.8940844602125069,0.9113971248876909,0.8708806543027434,0.8637527645581758,0.5891028780918276,0.509,0.805,0.536,0.206,0.640,0.831,0.273,0.537,0.587,0.334,0.688,0.859,0.5087170365378204
agnostic,m3fd_challenge,EfficientKAN_64_3,16384,0.814115189785867,0.7173165536264363,0.8918291164399144,0.9466625929585523,0.869308454121887,0.8505611203115,0.6090133012569116,0.511,0.812,0.536,0.249,0.630,0.835,0.273,0.542,0.593,0.387,0.681,0.860,0.5113259259944232
agnostic,m3fd_challenge,EfficientKAN_64_2,14336,0.8160350752829381,0.7473884949545454,0.8876755822892529,0.9513852813852814,0.8794039457635625,0.8351341830013194,0.5952229643036665,0.514,0.814,0.543,0.257,0.636,0.845,0.275,0.546,0.597,0.389,0.685,0.871,0.514397727326904
agnostic,m3fd_challenge,EfficientKAN_dual_32_3,16384,0.8200789399523716,0.7342655312271955,0.8920171645611646,0.9472458545039191,0.8666022353868481,0.8609061480098098,0.6194367060252924,0.514,0.818,0.540,0.244,0.641,0.836,0.278,0.543,0.596,0.381,0.690,0.864,0.5143894937770801
agnostic,m3fd_challenge,EfficientKAN_dual_32_2,14336,0.8201650436451562,0.7148434470194625,0.8984421582719002,0.945603791672865,0.8711728304375362,0.861281059690366,0.629646974778808,0.517,0.818,0.525,0.240,0.655,0.848,0.280,0.545,0.594,0.383,0.703,0.871,0.5166016587593725
agnostic,m3fd_challenge,EfficientKAN_dual_64_3,8192,0.8144033916987995,0.7186678884520312,0.8961907718753581,0.932738886427411,0.8657752995728037,0.866501888915682,0.6065456149495101,0.507,0.813,0.513,0.218,0.637,0.832,0.274,0.535,0.589,0.354,0.688,0.863,0.5067349856651072
