fusion_type,dataset,model,parameters,Pascal mAP@0.5IOU,Pascal AP@0.5IOU/person,Pascal AP@0.5IOU/bike,Pascal AP@0.5IOU/car,COCO AP@[0.50:0.95],COCO AP@0.50,COCO AP@0.75,COCO AP_small,COCO AP_medium,COCO AP_large,COCO AR@1,COCO AR@10,COCO AR@100,COCO AR_small,COCO AR_medium,COCO AR_large,COCO mAP
agnostic,flir_aligned_day,WavKAN_32,16912,0.8510769592413574,0.884177581580998,0.7639028618997306,0.9051504342433438,0.476,0.848,0.448,0.319,0.534,0.617,0.220,0.556,0.586,0.490,0.625,0.715,0.47563983696293993
agnostic,flir_aligned_day,WavKAN_64,8712,0.8528395705844997,0.8809961288185219,0.77442992883801,0.9030926540969672,0.475,0.850,0.447,0.328,0.533,0.621,0.220,0.553,0.581,0.477,0.623,0.720,0.4754479108414876
adaptive,flir_aligned_day,mlp,8464,0.8594799434222495,0.8777156089756797,0.7942657297669866,0.9064584915240822,0.471,0.856,0.428,0.323,0.524,0.644,0.219,0.553,0.580,0.487,0.614,0.720,0.47133454759068877
adaptive,flir_aligned_day,FastKAN_32_3,17182,0.8624218326334252,0.8788582413020383,0.8025326005987594,0.9058746559994779,0.480,0.860,0.452,0.336,0.531,0.647,0.221,0.557,0.584,0.489,0.621,0.720,0.4797132565367
adaptive,flir_aligned_day,FastKAN_32_2,13084,0.8617450224326185,0.8814050282913922,0.7995162792962028,0.9043137597102606,0.478,0.859,0.453,0.333,0.529,0.645,0.220,0.558,0.584,0.485,0.624,0.719,0.4782878302564036
adaptive,flir_aligned_day,FastKAN_64_3,8978,0.8646037990418417,0.8808155948926266,0.8091113947154247,0.9038844075174736,0.480,0.862,0.446,0.329,0.536,0.637,0.225,0.559,0.590,0.491,0.630,0.733,0.47958831859338885
adaptive,flir_aligned_day,FastKAN_64_2,6928,0.860377068542821,0.879376342214556,0.7953986790968859,0.9063561843170213,0.478,0.857,0.454,0.327,0.534,0.611,0.220,0.557,0.585,0.487,0.625,0.706,0.4777286188707343
adaptive,flir_aligned_day,EfficientKAN_32_3,32768,0.8621239739298981,0.8813559659765681,0.8002713433061153,0.9047446125070113,0.478,0.859,0.434,0.328,0.529,0.686,0.221,0.556,0.585,0.492,0.617,0.757,0.47808904587951395
adaptive,flir_aligned_day,EfficientKAN_32_2,28672,0.856760505075818,0.880556806701976,0.784286232479845,0.9054384760456329,0.480,0.854,0.454,0.331,0.534,0.653,0.223,0.561,0.589,0.490,0.627,0.748,0.48042411969767296
adaptive,flir_aligned_day,EfficientKAN_64_3,16384,0.8638398408271645,0.8803686339044794,0.8038265749037582,0.9073243136732556,0.482,0.860,0.452,0.330,0.536,0.659,0.226,0.560,0.588,0.487,0.628,0.748,0.4815224337603999
